"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 08 14:20:13 CST 2022","Sun May 08 14:20:14 CST 2022","966","","test_login","Test","","","测试用例描述：错误的验证码登录失败","测试描述：错误的验证码登录失败"
"passed","Sun May 08 14:19:37 CST 2022","Sun May 08 14:19:55 CST 2022","17497","","test_app","Test","","","测试用例描述：播放音乐：我爱他","测试标题：播放音乐"
"passed","Sun May 08 14:19:28 CST 2022","Sun May 08 14:19:28 CST 2022","413","","test_Demo","TestPytestOne","","","测试用例描述：生肖配对","测试标题：生肖配对"
"passed","Sun May 08 14:20:00 CST 2022","Sun May 08 14:20:04 CST 2022","3777","","test_5","Test","","","测试用例描述：点击积分商城","测试描述：进入积分商城界面"
"passed","Sun May 08 14:20:09 CST 2022","Sun May 08 14:20:12 CST 2022","2765","","test_login","Test","","","测试用例描述：错误的账号登录失败","测试描述：错误的账号登录失败"
"passed","Sun May 08 14:20:05 CST 2022","Sun May 08 14:20:06 CST 2022","1220","","test_5","Test","","","测试用例描述：点击账号余额","测试描述：进入账号余额界面"
"passed","Sun May 08 14:20:19 CST 2022","Sun May 08 14:20:19 CST 2022","20","","test_sql","TestMysql","","","测试用例描述：查询客户数据","测试描述：查询数据是否正确"
"passed","Sun May 08 14:19:28 CST 2022","Sun May 08 14:19:28 CST 2022","0","","test_Demo","TestPytestOne","","","测试标题：用例二","测试用例描述：用例二"
"passed","Sun May 08 14:19:56 CST 2022","Sun May 08 14:20:00 CST 2022","4426","","test_5","Test","","","测试用例描述：正确的账号密码登录成功","测试描述：登录成功"
"passed","Sun May 08 14:20:14 CST 2022","Sun May 08 14:20:17 CST 2022","2955","","test_login","Test","","","测试用例描述：正确的账号密码登录成功","测试描述：正确的账号密码登录成功"
"passed","Sun May 08 14:20:12 CST 2022","Sun May 08 14:20:13 CST 2022","1179","","test_login","Test","","","测试用例描述：错误的密码登录失败","测试描述：错误的密码登录失败"
